counterparty,ticker_or_contract,cusip,product_type,underlying,quantity,price_demo,notional_usd_est,currency,trade_date,expiry,strike,option_type,exchange,notes
Bridgewater Associates,QQQ_20261026_P_498p94,,OPTION,QQQ,3396,60.54,205593.84,USD,2026-02-23,2026-10-26,498.94,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Bridgewater Associates,SPY_20260522_C_419p7,,OPTION,SPY,-3146,90.85,285814.1,USD,2026-02-23,2026-05-22,419.7,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Bridgewater Associates,SPY_20261106_C_541p19,,OPTION,SPY,3274,78.64,257467.36,USD,2026-02-23,2026-11-06,541.19,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Bridgewater Associates,RTY,,INDEX_FUTURE,RTY,38,4592.6,8725940.0,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Bridgewater Associates,TSLA,,EQUITY,TSLA,-973,626.68,609759.64,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Bridgewater Associates,WFC,,EQUITY,WFC,1892,363.64,688006.88,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Bridgewater Associates,SPY_20260424_P_575p85,,OPTION,SPY,-4244,124.35,527741.4,USD,2026-02-23,2026-04-24,575.85,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Bridgewater Associates,TLT_20261029_P_672p84,,OPTION,TLT,412,125.59,51743.08,USD,2026-02-23,2026-10-29,672.84,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Bridgewater Associates,AVGO,,EQUITY,AVGO,-1094,570.41,624028.54,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Bridgewater Associates,TLT_20260504_C_531p07,,OPTION,TLT,-1093,76.9,84051.7,USD,2026-02-23,2026-05-04,531.07,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,XLF_20261010_P_80p15,,OPTION,XLF,-1960,4.24,8310.4,USD,2026-02-23,2026-10-10,80.15,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,QQQ_20261009_P_413p2,,OPTION,QQQ,3604,24.5,88298.0,USD,2026-02-23,2026-10-09,413.2,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,TLT_20260815_P_587p07,,OPTION,TLT,2341,34.1,79828.1,USD,2026-02-23,2026-08-15,587.07,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,XLF_20260523_P_87p58,,OPTION,XLF,-2226,9.08,20212.08,USD,2026-02-23,2026-05-23,87.58,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,TLT_20260615_P_618p32,,OPTION,TLT,2620,57.77,151357.4,USD,2026-02-23,2026-06-15,618.32,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,XLF_20260616_P_73p97,,OPTION,XLF,1134,4.62,5239.08,USD,2026-02-23,2026-06-16,73.97,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,TLT_20260522_C_477p46,,OPTION,TLT,-1895,104.87,198728.65,USD,2026-02-23,2026-05-22,477.46,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,ZB,,RATES_FUTURE,ZB,356,126.7057,35600000.0,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,TLT_20261029_P_672p84,,OPTION,TLT,1753,125.59,220159.27,USD,2026-02-23,2026-10-29,672.84,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,TLT_20260727_C_594p16,,OPTION,TLT,-3399,36.05,122533.95,USD,2026-02-23,2026-07-27,594.16,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,QQQ_20260827_P_343p25,,OPTION,QQQ,-2711,107.28,290836.08,USD,2026-02-23,2026-08-27,343.25,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,SPY_20261105_C_424p73,,OPTION,SPY,3407,90.25,307481.75,USD,2026-02-23,2026-11-05,424.73,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,QQQ_20260823_C_500p87,,OPTION,QQQ,-1695,63.14,107022.3,USD,2026-02-23,2026-08-23,500.87,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,XLF_20260424_C_76p71,,OPTION,XLF,3191,3.15,10051.65,USD,2026-02-23,2026-04-24,76.71,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Man Group,XLF_20260619_P_66p95,,OPTION,XLF,-4717,9.12,43019.04,USD,2026-02-23,2026-06-19,66.95,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,MSFT,,EQUITY,MSFT,-1452,37.01,53738.52,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,IWM_20261110_P_242p14,,OPTION,IWM,1046,26.77,28001.42,USD,2026-02-23,2026-11-10,242.14,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,QQQ_20260425_C_352p0,,OPTION,QQQ,3228,59.0,190452.0,USD,2026-02-23,2026-04-25,352.0,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,IWM_20260615_P_232p11,,OPTION,IWM,-688,16.22,11159.36,USD,2026-02-23,2026-06-15,232.11,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,TLT_20260528_C_520p99,,OPTION,TLT,-1112,79.23,88103.76,USD,2026-02-23,2026-05-28,520.99,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,XLF_20260912_P_64p75,,OPTION,XLF,1489,13.72,20429.08,USD,2026-02-23,2026-09-12,64.75,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,XLF_20260710_C_73p24,,OPTION,XLF,-2132,4.5,9594.0,USD,2026-02-23,2026-07-10,73.24,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,SPY_20260529_C_489p24,,OPTION,SPY,2682,25.28,67800.96,USD,2026-02-23,2026-05-29,489.24,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,XLF_20260619_P_66p95,,OPTION,XLF,-3725,9.12,33972.0,USD,2026-02-23,2026-06-19,66.95,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,QQQ_20261118_C_351p7,,OPTION,QQQ,-2765,53.11,146849.15,USD,2026-02-23,2026-11-18,351.7,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,TLT_20260810_C_650p95,,OPTION,TLT,-2280,50.41,114934.8,USD,2026-02-23,2026-08-10,650.95,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,JPM,,EQUITY,JPM,2166,79.12,171373.92,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,IWM_20260911_C_182p39,,OPTION,IWM,3853,50.42,194268.26,USD,2026-02-23,2026-09-11,182.39,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Elliott Investment Management,IWM_20260831_P_196p94,,OPTION,IWM,4419,32.65,144280.35,USD,2026-02-23,2026-08-31,196.94,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,SPY_20260522_C_419p7,,OPTION,SPY,4621,90.85,419817.85,USD,2026-02-23,2026-05-22,419.7,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,LLY,,EQUITY,LLY,-3909,420.7,1644516.3,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,BAC,,EQUITY,BAC,3121,168.67,526419.07,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,JPM,,EQUITY,JPM,1038,79.12,82126.56,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,SPY_20261105_C_424p73,,OPTION,SPY,2549,90.25,230047.25,USD,2026-02-23,2026-11-05,424.73,CALL,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,SPY_20261116_P_451p4,,OPTION,SPY,4741,31.52,149436.32,USD,2026-02-23,2026-11-16,451.4,PUT,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
Millennium Management,META,,EQUITY,META,-2655,480.16,1274824.8,USD,2026-02-23,,,,CBOE/NYSEARCA/CME (synthetic),Synthetic demo portfolio; not real positions or prices.
