,Bridgewater Associates,Man Group,Elliott Investment Management,Millennium Management,Citadel,The Children's Investment Fund Management (TCI),D. E. Shaw & Co.,Two Sigma,Goldman Sachs Asset Management,Farallon Capital,Renaissance Technologies,AQR Capital Management,Davidson Kempner Capital Management,Point72 Asset Management,Marshall Wace,Brevan Howard,Wellington Management,PIMCO,Ruffer,Anchorage Capital Group
Bridgewater Associates,100.0,49.1,67.5,69.1,37.7,36.7,55.5,68.3,67.6,59.7,64.2,47.6,56.4,48.7,71.3,66.3,56.9,46.9,68.1,56.5
Man Group,49.1,100.0,51.1,50.5,35.6,32.0,45.2,51.4,46.6,39.8,44.9,40.0,36.6,40.1,54.1,44.6,37.3,38.0,48.0,40.8
Elliott Investment Management,67.5,51.1,100.0,59.6,38.0,30.6,57.7,60.5,65.5,53.1,69.4,44.4,54.8,44.3,62.9,64.9,52.9,54.5,67.2,49.4
Millennium Management,69.1,50.5,59.6,100.0,37.4,43.7,52.8,68.1,61.1,54.7,62.7,46.6,50.4,49.6,69.9,65.1,53.3,45.9,67.4,52.9
Citadel,37.7,35.6,38.0,37.4,100.0,18.9,35.3,41.6,40.3,29.1,33.8,41.2,24.0,22.4,39.3,34.3,29.3,29.7,35.6,27.1
The Children's Investment Fund Management (TCI),36.7,32.0,30.6,43.7,18.9,100.0,36.1,45.2,34.5,28.5,31.2,22.4,24.3,21.9,44.8,37.7,37.1,25.8,35.2,35.2
D. E. Shaw & Co.,55.5,45.2,57.7,52.8,35.3,36.1,100.0,55.3,55.1,45.2,58.9,43.2,47.6,36.2,58.6,51.6,47.4,46.7,51.3,44.6
Two Sigma,68.3,51.4,60.5,68.1,41.6,45.2,55.3,100.0,63.0,51.6,58.0,52.8,52.8,47.8,71.8,59.8,55.4,50.8,64.2,59.6
Goldman Sachs Asset Management,67.6,46.6,65.5,61.1,40.3,34.5,55.1,63.0,100.0,47.9,68.7,47.4,57.4,46.1,68.0,63.9,51.5,55.8,66.8,50.4
Farallon Capital,59.7,39.8,53.1,54.7,29.1,28.5,45.2,51.6,47.9,100.0,48.4,42.2,38.7,36.4,56.6,45.6,42.2,32.9,52.9,44.4
Renaissance Technologies,64.2,44.9,69.4,62.7,33.8,31.2,58.9,58.0,68.7,48.4,100.0,44.9,55.5,43.1,65.3,66.5,52.8,52.5,71.9,45.9
AQR Capital Management,47.6,40.0,44.4,46.6,41.2,22.4,43.2,52.8,47.4,42.2,44.9,100.0,45.0,28.5,45.9,43.5,41.9,28.5,51.1,32.2
Davidson Kempner Capital Management,56.4,36.6,54.8,50.4,24.0,24.3,47.6,52.8,57.4,38.7,55.5,45.0,100.0,40.2,57.8,58.2,39.1,33.6,55.8,43.9
Point72 Asset Management,48.7,40.1,44.3,49.6,22.4,21.9,36.2,47.8,46.1,36.4,43.1,28.5,40.2,100.0,51.4,49.0,31.6,31.9,50.3,44.6
Marshall Wace,71.3,54.1,62.9,69.9,39.3,44.8,58.6,71.8,68.0,56.6,65.3,45.9,57.8,51.4,100.0,66.3,57.1,46.5,68.0,57.4
Brevan Howard,66.3,44.6,64.9,65.1,34.3,37.7,51.6,59.8,63.9,45.6,66.5,43.5,58.2,49.0,66.3,100.0,46.8,47.0,70.6,52.1
Wellington Management,56.9,37.3,52.9,53.3,29.3,37.1,47.4,55.4,51.5,42.2,52.8,41.9,39.1,31.6,57.1,46.8,100.0,36.4,51.2,46.2
PIMCO,46.9,38.0,54.5,45.9,29.7,25.8,46.7,50.8,55.8,32.9,52.5,28.5,33.6,31.9,46.5,47.0,36.4,100.0,48.4,44.1
Ruffer,68.1,48.0,67.2,67.4,35.6,35.2,51.3,64.2,66.8,52.9,71.9,51.1,55.8,50.3,68.0,70.6,51.2,48.4,100.0,49.3
Anchorage Capital Group,56.5,40.8,49.4,52.9,27.1,35.2,44.6,59.6,50.4,44.4,45.9,32.2,43.9,44.6,57.4,52.1,46.2,44.1,49.3,100.0
